,0,1
0,지원자격,선발기준
1,토익점수,선발기준
2,입금,장학혜택(금액)
3,신청방법,선발기준
4,봉사시간,선발기준
5,복학생,선발기준
6,편입생,선발기준
7,신청,신청방법
8,휴학하면,선발기준
9,학점기준,선발기준
10,성적 안정권,선발기준
11,수강포기하면,선발기준
12,교수님 추천서,선발기준
13,선발기준,선발기준
14,성적기준,선발기준
15,피에프 포함 학점,선발기준
16,들어야하는 학점,선발기준
17,평균 학점,선발기준
18,F가 있으면,선발기준
19,지급방법,장학혜택(금액)
20,중복지급,장학혜택(금액)
21,휴학하면 불이익,?
22,자퇴하면 불이익,?
23,장학혜택(금액),장학혜택(금액)
24,제출서류,제출서류
25,토익 300점대,선발기준
26,토익 400점대,선발기준
27,토익 500점대,선발기준
28,토익 600점대,선발기준
29,토익 700점대,선발기준
30,토익 800점대,선발기준
31,토익 대신jpt나 jlpt,선발기준
32,중복지급,장학혜택(금액)
33,재수강 포함,선발기준
34,야간학생,선발기준
35,공익토익점수,선발기준
36,모의토익도,선발기준
37,신입생인데,선발기준
38,모의토익,선발기준
39,휴학,선발기준
40,받고,선발기준
41,통장바로,장학혜택(금액)
42,장학이력,?
43,추가지급,장학혜택(금액)
44,15학점,선발기준
45,14학점,선발기준
46,12학점,선발기준
